Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Calventius Quintilianus,41,30,Numidia,175,49,Retiarius,12,2,Endurance,Net,High,Superior,0.8852126517691693,Low,1.001940619248537,Excellent,Expert,Strong,14,Aggressive,Good,Freedom,Unemployed,Medium,Balanced,High,Intimidating,True
Aurelianus Fundanus,21,165,Germania,156,74,Hoplomachus,8,2,Endurance,Dagger,Medium,Standard,0.8061124232234663,High,6.290788021187415,Adequate,Advanced,Strong,10,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,True
Magnentius Ravillius,41,175,Rome,159,54,Thraex,10,1,Tactics,Sica (Curved Sword),Medium,Standard,0.8956232939335869,High,2.506671438393429,Adequate,Advanced,Strong,11,Stoic,Fair,Survival,Laborer,Low,Balanced,High,Intimidating,True
Lartius Secundinius,30,207,Thrace,173,72,Provocator,5,1,Agility,Gladius (Sword),High,Superior,0.641557458050362,Low,5.768089333626351,Excellent,Expert,Strong,6,Aggressive,Excellent,Freedom,Criminal,Medium,Balanced,High,Charismatic,True
Minicius Festinius,35,61,Rome,164,69,Murmillo,5,1,Endurance,Dagger,High,Superior,0.677142445459826,Low,2.812117927867029,Excellent,Advanced,Strong,6,Stoic,Excellent,Survival,Laborer,Low,Balanced,Medium,Humble,False
Laecanius Ingenuus,42,23,Rome,153,94,Hoplomachus,12,3,Agility,Dagger,Low,Basic,0.917112619564087,Low,5.207672006950984,Poor,Expert,Strong,15,Calculative,Good,Glory,Criminal,Medium,Balanced,Medium,Humble,True
Gaius Marcellus,22,51,Germania,162,80,Provocator,2,0,Strength,Gladius (Sword),Low,Basic,0.4447698200168976,Low,2.965802527936373,Poor,Expert,Moderate,2,Aggressive,Excellent,Wealth,Unemployed,High,Balanced,Medium,Charismatic,False
Aquillius Cethegus,34,76,Germania,176,91,Murmillo,8,1,Novice,Gladius (Sword),High,Superior,0.6405791076465279,Low,6.850946424707309,Excellent,Basic,Strong,9,Calculative,Excellent,Survival,Unemployed,Medium,Balanced,High,Charismatic,True
Norbanus Manilius,27,57,Numidia,181,88,Thraex,5,2,Novice,Sica (Curved Sword),High,Superior,0.5653019744947007,Low,5.601382843255776,Excellent,Intermediate,Strong,7,Calculative,Excellent,Vengeance,Laborer,Low,Aggressive,High,Intimidating,False
Priscus Munatius,44,79,Greece,170,94,Thraex,13,4,Novice,Dagger,High,Superior,0.9542410346180028,High,4.441807361542376,Excellent,Intermediate,Strong,17,Stoic,Fair,Vengeance,Unemployed,Medium,Aggressive,Medium,Intimidating,False
Antonius Gaius,34,101,Germania,172,86,Thraex,9,1,Speed,Dagger,Low,Basic,0.6965358048412023,Low,7.281663924159548,Poor,Advanced,Moderate,10,Stoic,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Intimidating,True
Sicinius Honorius,37,109,Germania,176,74,Thraex,6,0,Endurance,Dagger,Medium,Standard,0.5680435868424741,Low,4.0467542788031095,Adequate,Advanced,Moderate,6,Fearful,Good,Vengeance,Entertainer,Medium,Balanced,Low,Intimidating,True
Perperna Sempronius,27,37,Rome,174,87,Secutor,7,2,Tactics,Dagger,High,Superior,0.7091100997998193,Low,5.035556411112521,Excellent,Advanced,Strong,9,Stoic,Excellent,Glory,Unemployed,Medium,Aggressive,Medium,Humble,False
Cestius Antonius,25,28,Gaul,169,30,Hoplomachus,8,2,Tactics,Dagger,High,Superior,0.7364926243231448,Low,4.8692846676716615,Excellent,Advanced,Strong,10,Stoic,Excellent,Glory,Criminal,Medium,Aggressive,Low,Humble,True
Naevius Maximian,36,62,Numidia,178,87,Hoplomachus,3,0,Novice,Dagger,Low,Basic,0.6126158905349766,Low,5.457834372139152,Poor,Basic,Moderate,3,Calculative,Excellent,Wealth,Criminal,Medium,Aggressive,Medium,Intimidating,False
Octavius Aelius,31,172,Gaul,166,88,Secutor,8,5,Novice,Gladius (Sword),High,Superior,0.5589818129118602,Low,3.413389453318655,Excellent,Intermediate,Strong,13,Stoic,Excellent,Glory,Unemployed,Low,Balanced,Low,Charismatic,False
Varian Nonius,31,161,Numidia,190,87,Secutor,9,0,Novice,Dagger,High,Superior,0.9489086423587272,Low,5.390649485224853,Excellent,Intermediate,Strong,9,Fearful,Excellent,Glory,Entertainer,Medium,Aggressive,Medium,Flamboyant,True
Antonius Livius,25,215,Greece,188,99,Provocator,0,0,Novice,Dagger,High,Superior,0.4208912687791846,Low,6.627393490337646,Excellent,Intermediate,Strong,0,Fearful,Excellent,Vengeance,Unemployed,Medium,Balanced,Low,Charismatic,False
Flavius Quintilianus,26,88,Rome,169,92,Thraex,2,0,Strength,Dagger,Low,Basic,0.4567642080744181,Low,0.993140606706594,Poor,Advanced,Moderate,2,Stoic,Excellent,Glory,Criminal,Low,Aggressive,Low,Humble,False
Balbus Magnentius,23,108,Gaul,177,91,Secutor,6,2,Strength,Gladius (Sword),High,Superior,0.5159775409686211,Low,3.2919404199045994,Excellent,Advanced,Strong,8,Fearful,Excellent,Glory,Laborer,High,Defensive,Medium,Intimidating,True
Donatus Domitius,20,75,Greece,184,75,Hoplomachus,8,0,Novice,Spear,High,Superior,0.7852638397976202,Low,7.3801332196691645,Excellent,Basic,Strong,8,Calculative,Excellent,Vengeance,Laborer,Medium,Balanced,Medium,Charismatic,True
Silanus Saturninus,44,7,Greece,170,93,Thraex,11,5,Novice,Dagger,High,Superior,0.6871500069143097,Low,7.098433131732785,Excellent,Basic,Strong,16,Stoic,Good,Vengeance,Entertainer,Medium,Aggressive,Low,Humble,False
Valens Varian,30,40,Greece,158,63,Secutor,10,3,Speed,Gladius (Sword),High,Superior,0.7838009230366162,Low,2.655363846130445,Excellent,Advanced,Strong,13,Fearful,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Humble,True
Zeno Castorius,20,33,Numidia,178,100,Secutor,4,2,Novice,Dagger,High,Superior,0.6024332978469402,Low,6.025380292691099,Excellent,Intermediate,Strong,6,Aggressive,Excellent,Freedom,Unemployed,Medium,Aggressive,Low,Intimidating,False
Appius Fabius,28,64,Numidia,192,94,Thraex,5,1,Strength,Dagger,Medium,Standard,0.6874929617159901,Low,6.778115811752122,Adequate,Advanced,Moderate,6,Fearful,Excellent,Glory,Unemployed,Medium,Balanced,Low,Charismatic,False
Maximus Nigidius,34,271,Thrace,189,108,Hoplomachus,7,1,Novice,Spear,High,Superior,0.6540566348711894,Low,7.682275993388973,Excellent,Basic,Strong,8,Fearful,Excellent,Wealth,Unemployed,Low,Aggressive,High,Intimidating,True
Didius Gallus,37,15,Gaul,170,90,Murmillo,8,2,Agility,Gladius (Sword),Low,Basic,0.7978391434060211,High,4.668291107734834,Poor,Advanced,Strong,10,Stoic,Fair,Survival,Entertainer,Medium,Balanced,Medium,Humble,True
Silvius Anatolius,36,30,Gaul,172,58,Provocator,17,6,Agility,Dagger,Medium,Standard,0.9132907882831456,High,4.108794310477815,Adequate,Expert,Strong,23,Aggressive,Good,Glory,Unemployed,Medium,Defensive,High,Flamboyant,True
Avidius Musonius,40,141,Numidia,202,71,Murmillo,7,2,Strength,Dagger,Low,Basic,0.5684622935916865,Low,3.0053328691910703,Poor,Expert,Moderate,9,Calculative,Good,Vengeance,Entertainer,Low,Aggressive,Medium,Charismatic,False
Zeno Anatolius,44,92,Germania,175,98,Provocator,4,1,Novice,Gladius (Sword),Low,Basic,0.4898439779847556,Low,5.432146894107352,Poor,Intermediate,Moderate,5,Aggressive,Good,Glory,Entertainer,Medium,Balanced,Medium,Intimidating,False
Maecilius Silius,18,206,Greece,174,82,Provocator,5,1,Agility,Gladius (Sword),Medium,Standard,0.6154339453611334,High,6.788003901168296,Adequate,Advanced,Moderate,6,Calculative,Excellent,Glory,Criminal,High,Aggressive,Medium,Humble,False
Blasius Gordian,36,216,Numidia,162,58,Retiarius,12,3,Strength,Net,Medium,Standard,0.9506048416009176,Low,4.960853991887185,Adequate,Advanced,Strong,15,Calculative,Excellent,Vengeance,Entertainer,Medium,Aggressive,High,Charismatic,True
Latinius Pinarus,43,210,Germania,172,54,Thraex,4,1,Strength,Dagger,High,Superior,0.4652523140226987,Low,4.109869428275278,Excellent,Advanced,Strong,5,Aggressive,Good,Wealth,Unemployed,Low,Aggressive,Medium,Charismatic,False
Tacitus Murena,22,35,Thrace,194,78,Retiarius,10,2,Strength,Net,Medium,Standard,0.8134892660510186,Low,3.92434967053626,Adequate,Expert,Strong,12,Aggressive,Excellent,Glory,Soldier,High,Balanced,High,Humble,True
Sertorius Murena,27,36,Germania,167,67,Hoplomachus,7,2,Agility,Spear,Medium,Standard,0.7612681227515068,Low,1.4403823018926654,Adequate,Expert,Strong,9,Calculative,Excellent,Survival,Unemployed,Low,Aggressive,High,Charismatic,False
Semellius Lucretius,31,208,Rome,179,58,Provocator,4,2,Speed,Gladius (Sword),High,Superior,0.4152085314171616,Low,5.933331999762364,Excellent,Advanced,Strong,6,Aggressive,Excellent,Wealth,Unemployed,Medium,Aggressive,High,Intimidating,False
Matinius Cassianus,35,116,Numidia,179,104,Hoplomachus,7,3,Novice,Spear,High,Superior,0.6817653414652675,Low,6.097252643448923,Excellent,Basic,Strong,10,Fearful,Excellent,Freedom,Laborer,Medium,Aggressive,Medium,Intimidating,False
Cyprian Cato,40,49,Thrace,177,81,Hoplomachus,10,4,Novice,Spear,Low,Basic,0.7258145598843848,Low,1.6975695289896886,Poor,Basic,Strong,14,Calculative,Good,Glory,Laborer,Low,Balanced,Medium,Flamboyant,False
Urbanus Fidius,23,63,Gaul,174,104,Murmillo,11,1,Strength,Gladius (Sword),Low,Basic,0.905311149859388,Low,7.767070664144412,Poor,Advanced,Strong,12,Stoic,Excellent,Survival,Entertainer,Medium,Balanced,High,Charismatic,True
Nazarius Fabianus,31,29,Rome,155,89,Provocator,11,3,Novice,Gladius (Sword),High,Superior,0.9076455172722964,Low,6.995395260788475,Excellent,Basic,Strong,14,Aggressive,Excellent,Survival,Criminal,Low,Aggressive,High,Intimidating,True
Plinius Octavius,44,172,Thrace,164,85,Provocator,8,0,Speed,Gladius (Sword),High,Superior,0.7534661134734729,Low,6.469916760519424,Excellent,Advanced,Strong,8,Fearful,Good,Wealth,Unemployed,Low,Aggressive,High,Flamboyant,True
Percennius Maximian,18,148,Thrace,177,93,Thraex,3,1,Tactics,Dagger,Low,Basic,0.4784144737635841,Low,7.700909708182227,Poor,Expert,Moderate,4,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,False
Anatolius Fidius,45,76,Gaul,192,87,Secutor,13,8,Novice,Dagger,Medium,Standard,0.6462920638727718,Low,5.2784792627895945,Adequate,Intermediate,Moderate,21,Stoic,Good,Glory,Criminal,Medium,Balanced,Medium,Humble,True
Afranius Modius,26,197,Germania,173,86,Hoplomachus,6,1,Novice,Spear,Low,Basic,0.5164148379771578,Low,6.731516506772305,Poor,Intermediate,Moderate,7,Calculative,Excellent,Survival,Entertainer,Low,Balanced,Medium,Charismatic,False
Norbanus Laelius,23,136,Gaul,158,75,Secutor,4,0,Strength,Dagger,Low,Basic,0.7465724602772569,Low,3.196812148851333,Poor,Expert,Strong,4,Fearful,Excellent,Wealth,Soldier,Medium,Balanced,High,Intimidating,False
Brennus Nautius,24,35,Gaul,176,92,Secutor,6,1,Novice,Gladius (Sword),High,Superior,0.7202432395910073,High,4.303541340122856,Excellent,Intermediate,Strong,7,Aggressive,Excellent,Glory,Criminal,High,Balanced,High,Intimidating,True
Mescinius Opellius,43,94,Rome,180,117,Provocator,8,1,Novice,Gladius (Sword),Low,Basic,0.8033220440157451,Low,1.7795524826010725,Poor,Intermediate,Strong,9,Fearful,Good,Vengeance,Unemployed,Medium,Balanced,High,Humble,False
Murena Regulus,28,124,Greece,177,73,Retiarius,7,1,Novice,Net,High,Superior,0.8271908204212516,High,0.9668065921864828,Excellent,Basic,Strong,8,Calculative,Excellent,Glory,Criminal,Low,Aggressive,High,Humble,False
Marius Nasidius,33,41,Rome,175,96,Provocator,7,0,Speed,Gladius (Sword),Medium,Standard,0.6999980926679845,Low,0.9942060832767942,Adequate,Expert,Moderate,7,Aggressive,Excellent,Freedom,Laborer,Low,Balanced,Low,Intimidating,True
Saturninus Caninius,33,23,Thrace,187,86,Retiarius,13,2,Speed,Trident,Medium,Standard,0.8812501550487124,High,4.694350961090052,Adequate,Advanced,Strong,15,Stoic,Good,Glory,Criminal,Medium,Aggressive,High,Humble,True
Camillius Mucius,42,68,Thrace,172,79,Secutor,11,2,Tactics,Dagger,Medium,Standard,0.9019809960660125,Low,2.9630220374429657,Adequate,Expert,Strong,13,Stoic,Good,Survival,Unemployed,Medium,Defensive,High,Flamboyant,True
Albinus Plautius,21,157,Rome,176,86,Retiarius,6,1,Novice,Net,High,Superior,0.6668112761148957,Low,6.65483249509814,Excellent,Intermediate,Strong,7,Fearful,Excellent,Wealth,Entertainer,High,Aggressive,High,Charismatic,True
Blaesus Diocletian,45,10,Germania,179,50,Retiarius,5,1,Novice,Net,Medium,Standard,0.5668308989009303,Low,2.2785236830743143,Adequate,Intermediate,Moderate,6,Fearful,Good,Wealth,Criminal,Low,Aggressive,Medium,Charismatic,False
Laronius Opimius,18,48,Numidia,158,87,Hoplomachus,5,0,Novice,Spear,Low,Basic,0.623357388427599,Low,6.749867938025579,Poor,Intermediate,Moderate,5,Calculative,Excellent,Glory,Soldier,Medium,Balanced,Medium,Intimidating,True
Ovidius Terentius,45,10,Greece,180,61,Provocator,11,6,Speed,Gladius (Sword),Low,Basic,0.5816637428995779,High,1.6968580791220569,Poor,Expert,Moderate,17,Calculative,Fair,Glory,Criminal,Medium,Balanced,Medium,Intimidating,False
Pinarus Fidenas,34,85,Greece,188,62,Provocator,11,4,Novice,Dagger,Low,Basic,0.6587056162820398,Low,3.921993778683997,Poor,Intermediate,Moderate,15,Stoic,Excellent,Glory,Criminal,Low,Aggressive,Low,Charismatic,True
Caninius Lollius,26,26,Thrace,184,85,Murmillo,11,1,Tactics,Dagger,Medium,Standard,0.9699875161954732,Low,7.273577278340124,Adequate,Expert,Strong,12,Aggressive,Excellent,Survival,Criminal,Medium,Aggressive,Medium,Intimidating,True
Ingenuus Stertinius,28,74,Germania,184,73,Retiarius,6,1,Novice,Trident,High,Superior,0.5895365683644666,Low,7.829797804309326,Excellent,Intermediate,Strong,7,Calculative,Excellent,Wealth,Laborer,Low,Balanced,Medium,Humble,True
Iunius Nero,29,248,Germania,187,92,Thraex,3,1,Endurance,Dagger,High,Superior,0.6194096667361234,Low,5.006116361555146,Excellent,Expert,Strong,4,Aggressive,Excellent,Vengeance,Laborer,Medium,Aggressive,High,Intimidating,False
Perperna Modius,22,93,Germania,175,69,Retiarius,6,1,Novice,Net,Medium,Standard,0.6509230872470402,Low,2.019402866833349,Adequate,Intermediate,Moderate,7,Fearful,Excellent,Survival,Laborer,Medium,Balanced,Low,Humble,False
Rabirius Gnaeus,42,243,Germania,173,87,Murmillo,9,2,Tactics,Gladius (Sword),Low,Basic,0.7817597394972585,Low,2.72363636892796,Poor,Expert,Strong,11,Aggressive,Good,Vengeance,Entertainer,Medium,Balanced,High,Charismatic,False
Cornelius Silius,38,66,Rome,192,80,Secutor,13,4,Tactics,Dagger,High,Superior,0.9305060178426824,High,1.4617362754322103,Excellent,Advanced,Strong,17,Fearful,Good,Survival,Unemployed,Medium,Balanced,Medium,Flamboyant,False
Ovidius Albinius,44,12,Rome,158,89,Secutor,13,2,Agility,Gladius (Sword),Low,Basic,0.8892328784893854,Low,1.8451197401433137,Poor,Expert,Strong,15,Fearful,Good,Survival,Unemployed,Medium,Aggressive,Medium,Flamboyant,True
Servius Magnentius,40,281,Greece,178,66,Murmillo,13,0,Speed,Dagger,Medium,Standard,0.9390080640230752,High,2.654559335950534,Adequate,Advanced,Strong,13,Stoic,Fair,Vengeance,Laborer,Low,Balanced,Medium,Flamboyant,True
Nigidius Mucius,18,62,Rome,168,84,Thraex,4,0,Speed,Sica (Curved Sword),Medium,Standard,0.5222614257098739,Low,5.585267093133709,Adequate,Advanced,Moderate,4,Calculative,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Charismatic,False
Pius Titus,38,96,Germania,187,68,Retiarius,11,3,Novice,Trident,Medium,Standard,0.7270467083291482,High,1.2775999886882483,Adequate,Intermediate,Strong,14,Calculative,Fair,Glory,Unemployed,Medium,Balanced,High,Intimidating,False
Numerius Ogulnius,36,23,Germania,192,73,Retiarius,14,1,Agility,Net,Medium,Standard,0.8512825814816006,High,0.99624165587247,Adequate,Expert,Strong,15,Calculative,Fair,Survival,Entertainer,Medium,Aggressive,High,Humble,True
Verecundus Spurius,37,135,Rome,179,58,Hoplomachus,9,2,Tactics,Dagger,Medium,Standard,0.7119117994714578,Low,1.7372490916670738,Adequate,Advanced,Strong,11,Aggressive,Good,Glory,Criminal,Low,Aggressive,Medium,Flamboyant,False
Secundus Rufrius,30,87,Gaul,166,67,Secutor,6,0,Agility,Dagger,High,Superior,0.6277630559402703,Low,8.886699853520502,Excellent,Expert,Strong,6,Calculative,Excellent,Glory,Unemployed,Medium,Balanced,Medium,Humble,True
Severian Ennius,39,204,Thrace,183,70,Thraex,9,2,Speed,Sica (Curved Sword),High,Superior,0.7745898742742593,Low,1.3739087888765038,Excellent,Advanced,Strong,11,Aggressive,Excellent,Wealth,Entertainer,Medium,Aggressive,Medium,Intimidating,False
Genucius Lucanus,34,201,Rome,173,60,Murmillo,10,4,Novice,Gladius (Sword),High,Superior,0.6469246324551321,High,2.486132138013248,Excellent,Intermediate,Strong,14,Calculative,Good,Glory,Laborer,Medium,Aggressive,Medium,Humble,True
Vincentius Geminius,45,35,Germania,179,99,Murmillo,17,2,Novice,Dagger,Medium,Standard,0.8242681992699166,High,0.9596286114065644,Adequate,Intermediate,Strong,19,Stoic,Fair,Freedom,Laborer,Medium,Aggressive,Low,Flamboyant,False
Rutilius Perperna,26,39,Thrace,176,59,Provocator,9,1,Agility,Gladius (Sword),Low,Basic,0.8364122796867002,Low,6.061463057943452,Poor,Advanced,Strong,10,Stoic,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Humble,True
Tacitus Fidius,37,86,Numidia,154,111,Murmillo,12,1,Tactics,Dagger,Medium,Standard,0.8692697501850186,Low,2.967038366412496,Adequate,Advanced,Strong,13,Stoic,Good,Glory,Entertainer,Medium,Aggressive,High,Intimidating,True
Seneca Diocletian,39,23,Germania,176,61,Hoplomachus,10,2,Novice,Dagger,High,Superior,0.7324853213425012,Low,4.977793485815408,Excellent,Basic,Strong,12,Aggressive,Excellent,Wealth,Laborer,Medium,Aggressive,High,Charismatic,True
Nonius Cethegus,29,113,Gaul,183,114,Provocator,8,0,Endurance,Dagger,Low,Basic,0.8494278395632054,Low,4.708729956483543,Poor,Expert,Strong,8,Stoic,Excellent,Vengeance,Unemployed,Low,Defensive,Medium,Flamboyant,True
Maecenas Publius,20,102,Numidia,176,78,Hoplomachus,5,0,Novice,Dagger,High,Superior,0.7609852103345854,Low,6.684166802920296,Excellent,Intermediate,Strong,5,Aggressive,Excellent,Glory,Soldier,Medium,Balanced,High,Intimidating,True
Ingenuus Donatus,42,64,Greece,185,91,Murmillo,13,3,Strength,Gladius (Sword),Low,Basic,0.8962441760164199,Low,4.945072836507943,Poor,Expert,Strong,16,Stoic,Good,Glory,Laborer,Medium,Aggressive,Medium,Charismatic,False
Opellius Furius,25,94,Rome,177,62,Retiarius,5,1,Novice,Trident,High,Superior,0.5829745384637445,Low,8.149189331838043,Excellent,Intermediate,Strong,6,Fearful,Excellent,Glory,Entertainer,Low,Balanced,High,Charismatic,True
Vitus Juvenalis,26,57,Thrace,169,102,Secutor,11,3,Tactics,Gladius (Sword),High,Superior,0.9874849359798932,High,2.209352291588325,Excellent,Expert,Strong,14,Stoic,Excellent,Wealth,Unemployed,Medium,Balanced,High,Intimidating,True
Rutilius Cincinnatus,35,211,Greece,173,87,Murmillo,13,2,Novice,Dagger,High,Superior,0.972189499072797,High,6.088147831778326,Excellent,Intermediate,Strong,15,Fearful,Good,Glory,Laborer,Low,Aggressive,Low,Intimidating,True
Urbicus Varian,40,25,Rome,175,79,Retiarius,9,2,Strength,Trident,Low,Basic,0.7654135956210634,Low,5.067927274705833,Poor,Expert,Strong,11,Fearful,Good,Survival,Criminal,Low,Defensive,Medium,Charismatic,True
Sittius Laetorius,37,20,Rome,160,93,Secutor,8,1,Tactics,Gladius (Sword),High,Superior,0.762497697314622,Low,2.0480580646228246,Excellent,Expert,Strong,9,Calculative,Excellent,Freedom,Entertainer,Low,Defensive,High,Intimidating,True
Genucius Nigidius,20,51,Thrace,182,102,Retiarius,5,3,Agility,Net,Medium,Standard,0.4694442501267982,Low,5.36764872550364,Adequate,Expert,Moderate,8,Aggressive,Excellent,Survival,Soldier,Medium,Balanced,Low,Intimidating,False
Agrippa Juvenalis,32,33,Gaul,166,42,Provocator,10,1,Agility,Dagger,Low,Basic,0.8102345848307285,Low,3.237520936594007,Poor,Advanced,Strong,11,Calculative,Excellent,Freedom,Unemployed,Medium,Balanced,Medium,Flamboyant,True
Porcius Januarius,37,119,Greece,165,81,Retiarius,5,2,Tactics,Trident,Low,Basic,0.5455853943794865,Low,6.378961769336459,Poor,Expert,Moderate,7,Calculative,Good,Vengeance,Unemployed,Medium,Aggressive,Low,Charismatic,False
Rufinus Crispinus,44,63,Numidia,186,112,Murmillo,8,1,Endurance,Dagger,Low,Basic,0.8059385992300551,Low,4.856627357642865,Poor,Expert,Strong,9,Calculative,Good,Survival,Laborer,Medium,Balanced,Medium,Humble,False
Vespasian Vitalis,38,69,Rome,183,74,Provocator,9,2,Speed,Dagger,Low,Basic,0.8101237720239076,Low,2.0274085144493434,Poor,Expert,Strong,11,Calculative,Good,Wealth,Unemployed,Medium,Aggressive,High,Flamboyant,False
Nero Gabinius,34,76,Greece,170,99,Provocator,4,0,Novice,Gladius (Sword),Medium,Standard,0.5991039645403469,Low,3.95915685328114,Adequate,Intermediate,Moderate,4,Calculative,Excellent,Survival,Unemployed,Medium,Aggressive,Medium,Humble,False
Rabirius Poppaedius,38,36,Greece,182,84,Retiarius,9,4,Novice,Trident,Medium,Standard,0.6645755795967363,Low,3.948959624225091,Adequate,Intermediate,Moderate,13,Calculative,Good,Wealth,Entertainer,Medium,Balanced,Medium,Intimidating,False
Varro Appius,29,47,Greece,162,118,Provocator,2,1,Novice,Dagger,High,Superior,0.3696944975431078,Low,7.416793168954352,Excellent,Intermediate,Strong,3,Aggressive,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Intimidating,False
Cincinnatus Numonius,20,216,Thrace,182,82,Thraex,2,0,Novice,Dagger,Low,Basic,0.4683615715040019,Low,6.329024336696567,Poor,Intermediate,Moderate,2,Calculative,Excellent,Glory,Soldier,High,Balanced,Medium,Charismatic,False
Marcus Sempronius,42,52,Gaul,184,64,Hoplomachus,5,1,Novice,Spear,Low,Basic,0.4901924416512903,High,1.5711125865606428,Poor,Intermediate,Moderate,6,Stoic,Fair,Freedom,Laborer,Medium,Balanced,Low,Intimidating,False
Sidonius Caelian,43,19,Rome,171,85,Secutor,11,3,Novice,Gladius (Sword),High,Superior,0.7558916167877537,High,3.3837678385616776,Excellent,Intermediate,Strong,14,Stoic,Fair,Survival,Entertainer,Medium,Balanced,Medium,Charismatic,True
Januarius Quirinius,25,56,Thrace,157,85,Provocator,7,1,Agility,Gladius (Sword),Low,Basic,0.7592260547095986,Low,5.296624624771404,Poor,Advanced,Strong,8,Aggressive,Excellent,Vengeance,Entertainer,Medium,Aggressive,Medium,Humble,False
Caesennius Sestius,45,18,Germania,174,83,Thraex,11,4,Novice,Sica (Curved Sword),High,Superior,0.8009318203134423,Low,1.656457811398493,Excellent,Intermediate,Strong,15,Stoic,Good,Freedom,Laborer,Medium,Aggressive,High,Flamboyant,False
Porcius Albinus,45,26,Greece,179,82,Murmillo,10,4,Novice,Dagger,Medium,Standard,0.698864536718674,High,0.9357213527589892,Adequate,Intermediate,Moderate,14,Fearful,Fair,Survival,Entertainer,Medium,Balanced,Low,Intimidating,False
Maecilius Lucius,18,131,Greece,182,106,Provocator,4,0,Novice,Gladius (Sword),High,Superior,0.5400807873230615,Low,5.651000832294495,Excellent,Basic,Strong,4,Calculative,Excellent,Glory,Laborer,Medium,Balanced,Low,Charismatic,False
Persius Cordius,21,94,Gaul,174,88,Provocator,3,0,Agility,Gladius (Sword),High,Superior,0.5322326658314749,Low,5.346247112795188,Excellent,Expert,Strong,3,Stoic,Excellent,Wealth,Soldier,Medium,Aggressive,Medium,Charismatic,False
Florian Domitian,33,93,Gaul,182,65,Murmillo,5,0,Endurance,Gladius (Sword),Low,Basic,0.5876434431470242,Low,4.9461056380043065,Poor,Advanced,Moderate,5,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Humble,True
Julius Cinna,37,84,Gaul,159,81,Secutor,10,0,Endurance,Dagger,Medium,Standard,0.8951107512696479,Low,4.631250061177862,Adequate,Advanced,Strong,10,Fearful,Good,Glory,Criminal,Medium,Aggressive,Low,Intimidating,True
Sergian Damasus,37,25,Gaul,176,46,Retiarius,5,1,Novice,Trident,High,Superior,0.5418380088445571,Low,3.783571955917739,Excellent,Intermediate,Strong,6,Aggressive,Excellent,Freedom,Laborer,Low,Balanced,Medium,Intimidating,False
Damasus Hostilius,20,109,Germania,166,110,Secutor,6,0,Novice,Gladius (Sword),Low,Basic,0.6727617035621084,Low,7.1855004693404165,Poor,Intermediate,Moderate,6,Stoic,Excellent,Glory,Entertainer,High,Balanced,Medium,Intimidating,True
Sittius Florian,34,25,Numidia,171,88,Murmillo,9,1,Novice,Dagger,High,Superior,0.8065839190563993,Low,5.248892107707858,Excellent,Intermediate,Strong,10,Fearful,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Intimidating,True
Aemilius Cincinnatus,34,22,Thrace,188,81,Retiarius,4,1,Novice,Net,Medium,Standard,0.5458054402258765,Low,2.446647116453102,Adequate,Intermediate,Moderate,5,Stoic,Excellent,Vengeance,Laborer,Low,Aggressive,Low,Intimidating,False
Marius Mamilius,21,304,Rome,178,84,Murmillo,9,2,Strength,Gladius (Sword),Medium,Standard,0.7306193114474625,Low,2.8988666872339075,Adequate,Expert,Strong,11,Stoic,Excellent,Vengeance,Laborer,Medium,Balanced,Medium,Humble,False
Suetonius Paconius,19,72,Gaul,175,92,Hoplomachus,5,1,Novice,Dagger,Medium,Standard,0.645265436568222,High,1.5843330382161818,Adequate,Intermediate,Moderate,6,Stoic,Excellent,Glory,Laborer,High,Aggressive,Medium,Humble,False
Agrippa Sentius,29,124,Rome,178,68,Retiarius,8,1,Novice,Net,Medium,Standard,0.8944911427226738,Low,4.193030751928334,Adequate,Intermediate,Strong,9,Aggressive,Excellent,Freedom,Unemployed,Medium,Balanced,Medium,Intimidating,False
Vincentius Festus,35,19,Rome,189,57,Secutor,10,2,Endurance,Dagger,Medium,Standard,0.7328075500279476,Low,6.415195322695308,Adequate,Expert,Strong,12,Aggressive,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Humble,True
Plinius Gaius,41,90,Thrace,179,130,Murmillo,13,2,Agility,Dagger,Medium,Standard,0.917796429427896,Low,2.4392029891774163,Adequate,Expert,Strong,15,Calculative,Good,Glory,Laborer,Medium,Defensive,Medium,Intimidating,True
Celsus Cispius,29,26,Thrace,197,83,Secutor,6,1,Novice,Dagger,High,Superior,0.6485247392120503,Low,5.813704145861994,Excellent,Intermediate,Strong,7,Stoic,Excellent,Survival,Criminal,Medium,Balanced,Medium,Charismatic,True
